EG	GPM	AU	PRN	TRN
39	10.3	37	3.4	45
38	9.8	37	3.1	45
38	11.2	39	3.8	50
41	10.5	40	3.3	48
39	10.8	38	3.5	47
40	11.8	39	3.5	48
40	11.4	38	3.2	46
40	11.2	39	3.2	50
39	10.8	38	3	46
38	10.2	38	3.1	47
37	9.2	35	2.8	45
38	9.3	36	2.9	46
39	11.4	38	3.7	48
38	9.7	36	2.8	47
37	8.9	36	2.7	46
37	8.8	37	2.8	49
37	9.1	35	3.4	45
39	9.9	38	3.5	46
37	9.5	36	3.1	47
41	11.8	40	3.6	50
38	9.6	38	3.2	46
39	11.6	38	3.8	47
39	10.7	38	2.9	49
37	9.4	36	2.7	46
38	9.8	37	2.8	48
37	10.2	35	2.9	45
40	10.6	38	3.1	47
40	10.7	38	3.2	48
38	9.6	37	3.3	46
37	9.4	37	2.6	46
41	10.9	39	3.4	49
38	9.1	36	2.8	46
38	9.6	37	2.8	46
40	11.8	39	3.5	50
39	11.4	38	3.4	49
37	10.2	36	2.9	48
38	10.4	36	2.8	46
37	10.4	37	2.5	48
38	10.2	36	2.8	46
37	11	36	2.9	47
